Country,value
Angola,118
Australia,244
Belize,17201
Benin,283374
Bolivia,129
Brazil,158
Burkina Faso,366
Cambodia,106287
Cameroon,2778
Chile,16
China,36
Colombia,69
Republic of the Congo,66901
Democratic Republic of the Congo,218479
Costa Rica,2036
Ivory Coast,202270
East Timor,363
Ecuador,148
El Salvador,475
Equatorial Guinea,1065
Fiji,0
Gabon,6789
Gambia,566223
Germany,17
Ghana,512361
Guatemala,3357
Guinea,8687
Guinea-Bissau,131629
Guyana,69
Honduras,2698
India,2407
Indonesia,32940
Japan,10
Kenya,301
Laos,1097805
Liberia,66
Madagascar,31436
Malawi,37
Malaysia,53858
Maldives,8
Mali,23440
Mexico,22310
Mozambique,308221
Myanmar,774543
Namibia,93
Nepal,171
Nicaragua,106296
Nigeria,851091
Pakistan,540
Palau,39
Panama,46512
Papua New Guinea,89
Paraguay,112
Philippines,397
Senegal,494
Sierra Leone,81598
Singapore,49
Solomon Islands,34
South Africa,18
South Sudan,40
Spain,98
Sri Lanka,402
Sudan,126
Suriname,992
Taiwan,182
Tanzania,753
Thailand,3127
Togo,176802
United Arab Emirates,315
Vanuatu,1484
Vietnam,470384
Zambia,5193